USERINFO_DATA
birthdate;nickname;pwd
ogringley0;e7bzwtn9JRN;20-Jul-1999
dmackinnon1;bbDUSF;24-Sep-1998
gleathlay2;8EFoGT;06-Mar-1999
dwhyard3;ZzX0TYXe0Hw;02-Apr-1999
crisdall4;r1IiMLjtYE;02-Dec-1999
vbenadette5;7mZEDy;20-Jul-1998
rfortie6;B68FKKAe1;22-Jul-1997
rpail7;isPzJt8Cjat1;16-Mar-1999
rberic8;bt1XI6KSi51;24-Nov-1997
dcains9;Lox1khD;21-Dec-1997
horrocka;J2RtGaL9XNj;12-Mar-1999
bwhitseyb;nCYjxzOzHn;07-Aug-1999
gbeadec;05YpECk;15-Feb-1998
gbrabbend;DfdPjj;01-Sep-2000
lbacchuse;bZw771;09-Jan-1998
nbernardosf;wPhSAatop66;04-Sep-1997
mgreetg;cuP9YB5;13-Jan-1999
wpugheh;NAn9KmLAv9;20-May-1998
jlunami;lExEg0UIbIQ;03-Dec-1998
credwoodj;fiQslXyt;19-May-2000
wgiabuccik;cyGKuwWjl;26-Dec-1998
kmarrl;bzMkx81t;31-Aug-1999
csotheronm;R9QraUIodRj1;20-Jan-1997
lmerigonn;M6s7Mj;20-Mar-2000
dzecchio;4ilecnBG;01-Jun-1998
sbrabbsp;JFE58K;01-Jun-1998
gchadbourneq;iAbtqFjf;15-Feb-1999
asollarsr;EItEH9XJq;06-Jan-1998
bfardys;n1sscLzH;27-Oct-1998
kszymonwiczt;aeWeisM;07-Aug-1999
mfanthomu;naacAtJX6WQx;29-Jul-1998
eagusv;RtfLKser;19-Jan-1998
mscartifieldw;zXimxj6PTnV6;12-Jul-1997
mgamlinx;nB5ORJH;22-Jan-1998
apeachmenty;5829QQ4SWy;13-Nov-2000
cpendellz;FYJgL6qJ3xnh;02-Dec-1999
lswin10;iURELSYQV1;25-Nov-1999
sospillane11;CzMgh941S;17-Mar-1999
dgraundisson12;jov9ZFih8;04-Dec-1999
swalworche13;0VY5XO;02-Jul-1997
mbretherton14;Jsxwlg8;28-Feb-1999
cjoiner15;D577Cn;29-Oct-1999
cboosey16;krSdUK1d3Q5d;18-Nov-1997
atelford17;p1Y3Ei;27-Apr-1999
cohannen18;wVJacXQu6a;26-Sep-1998
mpill19;oIyBz7;24-Jun-1997
sgozzett1a;3H1gXpD;11-Aug-2000
hverchambre1b;79VEbc04tFwS;07-Jul-2000
lbaythorp1c;8VArbyNaL;13-Jul-1997
cweatherburn1d;f8eMOJRgopf8;25-Jun-1997
mcantero1e;N04PaKs;24-Jan-1999
adaviddi1f;lYCNTQ7W;16-Apr-1998
cdocker1g;SUdiNZ;23-Nov-1998
bkorf1h;Z0ansdAC;07-Feb-1997
msneddon1i;YRud0G6;10-Nov-1997
anewgrosh1j;0XWNxDhui;12-May-2000
wbubbings1k;NxThgF;26-Jul-2000
cweben1l;E3TqYdeoeLBB;19-Jul-1997
browatt1m;HZYGF4bRi;26-Jun-1998
amaccurtain1n;gV3ncpD2WJ1Y;14-May-1999
claurens1o;CEC8JFkrhQc;21-Sep-1999
kilyenko1p;j7p7g6KGOw;26-Feb-1997
emaccaig1q;LITcPGT34;08-Feb-1997
htonkes1r;CytWvN;23-Jun-1997
lstangel1s;WAMysrx78Oo;28-Apr-2000
lvaughan1t;gYMLlMFo2kg1;28-Nov-1998
kswine1u;yCYevO2;25-Jul-2000
tcook1v;BODQUA;28-Feb-1999
dodoireidh1w;gnSuatbRy8;25-Feb-2000
dcastellucci1x;pGztaadcBMU3;05-Feb-1998
fpauli1y;YG4niX0;01-Dec-2000
mcamili1z;eJPqCD0o5hGq;24-May-1999
kmakey20;AeIhEC;02-May-2000
lstrickett21;2D7lH8bOa;19-Feb-1997
dbliss22;BvFqbVH9Z;23-Dec-2000
acochet23;KSHrMosD41;03-May-1998
cmaughan24;Az33nXB;11-Dec-1997
orobinet25;7vcucYhe;21-Nov-1998
calfonso26;oognkHtfi;14-Jan-1999
jvane27;rMfXO3Kjs;20-Dec-1999
jstables28;xQsquMrrNtv;03-Dec-2000
efranzotto29;F7p7XH;27-Oct-1998
jbignal2a;EL9GnDdKVn;19-Apr-2000
pscamadine2b;qTRmpd1IxtF;31-Jan-2000
bboar2c;pQ1weWG;25-Apr-1997
edealy2d;B7PXYgjnSF;09-Apr-1998
dgreader2e;agWajH;28-Feb-1998
equiney2f;aIa9EVWdUrJF;22-Nov-1997
dwickman2g;J6CrFfzf1O;16-Oct-1997
aandrus2h;iMjAif;15-Jun-1997
arowberry2i;1TA0pBrb;18-Feb-1998
lknok2j;QqlQ4WHW;27-Sep-1997
mbenoist2k;hBF1dmISGuz9;16-Jan-1998
lgreste2l;jK541W9CCu7M;23-Sep-1999
moakly2m;n0MJD8Ly;23-Jun-1997
vmertin2n;HWXZYAVZnw;03-Jun-1999
qjeaycock2o;I4qFFn;19-Aug-1998
ggodsal2p;HQcScBO5S;25-Jun-1998
ftitmus2q;zBMx4OPa;06-Jun-1999
mfinicj2r;1rVMaHU5Y;16-Aug-1998
ewhalebelly2s;Sjch1DLj;03-Jun-1997
nbiaggetti2t;VT9XmnfQi;12-Nov-2000
agierth2u;WepXBaMPn;14-Mar-2000
dcaro2v;L9CNGy;26-Apr-2000
ewhittek2w;gXgBZaGLNpqZ;08-Sep-1997
hyackiminie2x;NT5AZU2beU;30-Jun-1999
mgilffillan2y;O5k213;19-Jun-1999
lhempel2z;NItaYOcKnyE;29-Oct-1999
dpurseglove30;K4UKKBU0;20-Sep-2000
ggutowski31;p5nNBTxLn0;28-May-2000
sbabb32;OynwvQ;01-Apr-1998
mgave33;BhYKo0;02-Aug-1999
fkincaid34;iXvM9Jf0;28-Jan-1997
bllop35;5J8bbOpjZ6H;20-Feb-2000
kvuittet36;8J9ASFzHkqD9;01-Sep-1999
ajenk37;7cX4kvt;16-Apr-1997
yspaughton38;q41RIHhcoA;19-Mar-1997
hstillman39;IMogugF79m;15-Feb-1998
ajosse3a;OdYMRMW;03-Jul-1998
rbenediktovich3b;DXCA2nvc;05-Feb-1999
gcoarser3c;RMzASVxQ;18-Jan-1997
sdunkersley3d;RTT7HJS88f;28-Apr-1999
vandreou3e;FyXbvlF0ooFI;11-Aug-1997
dcordero3f;uMTi9kqJHfts;19-Oct-2000
akrimmer3g;19M0htvN;23-Nov-1999
akebell3h;sETy8eO0n;06-Feb-1997
dbaldam3i;d3Jq9Id2;06-Aug-1997
gwinchcombe3j;ufJV2hySjb5;07-May-2000
msiddall3k;Np5bbYwn;28-Apr-1999
dgrigorescu3l;pJsuvky;18-Sep-1999
pportchmouth3m;Hcf218R3;19-Feb-1997
jmabee3n;lruJ1WZNbG;17-May-1999
efeldmus3o;w5ticIuQwGSR;21-Aug-1999
tbrouard3p;gppfTHYVAzy8;10-Feb-2000
sdun3q;rwR5np;08-Oct-1998
njacobowitz3r;7tLNpeTCo5F;20-Apr-2000
koshea3s;VlNeXp2U;27-Oct-2000
mwarboys3t;7SVF1HR3kMPy;07-Oct-1998
bpatroni3u;vEyIefdTlY;16-Mar-2000
lberard3v;SrYcCHOW3;07-Oct-2000
lcolclough3w;CIMYAOLq;30-Jul-1997
jblagburn3x;IrzyyR1i03z;02-Feb-1998
bcradoc3y;BPtjquapFKEt;16-Sep-1998
fmacbain3z;NxIPlTs;06-Nov-1999
cmozzetti40;kRa6e3P5E;11-Mar-1997
kcottesford41;SNdIsTTtx4q;02-Dec-2000
asherlock42;Zlqx7gfxA;28-Jan-1997
tbengochea43;odCkDC9ERZGX;06-Feb-1997
akilmurray44;v6G8tXhYBT;24-Aug-1999
tgeck45;P1GMml3i57V;05-Jan-2000
jlamblin46;2bIPUR;17-Sep-2000
egilffilland47;eu7cwluk;04-Dec-2000
fmiddlemist48;5CVmGHLQ;29-Jan-2000
mleivers49;p6l1EdLU;22-Jan-1997
enutley4a;EK8D5zVG;29-Apr-1997
sbulleyn4b;S1xFVIO6t;29-Jan-1997
rjevons4c;u99MQyA19Jr7;11-Oct-1998
wclardge4d;TMAS7awWHz;27-Feb-1998
ariddall4e;Z5JQyG9;04-Jun-1998
dalred4f;JrkUKt9yx;21-Jan-1998
esanz4g;25swwvNCVuER;21-Jul-1997
eheskey4h;06Lvya6z;26-Jun-1999
kketch4i;Swh5Ajc;23-Mar-2000
fshewan4j;Y7d1hX;04-Jan-2001
ygibbings4k;tx3xYva;17-Jul-1997
